Biochar_Dosage_g_L,Surface_Area_m2_g,Pore_Size_nm,Pore_Volume_cm3_g,Electrical_Conductivity_S_m,Electron_Donating_Capacity_mmol_g,Electron_Accepting_Capacity_mmol_g,pH,Temperature_C,HRT_days,Methane_Yield_mL_CH4_gVS
1.55,682.0,22.86,0.318,0.449,3.083,2.073,8.12,37.4,16.7,252.08
5.93,1115.1,39.35,1.068,7.871,3.444,1.673,8.88,47.9,11.8,272.77
7.03,1106.5,49.53,0.399,1.897,1.218,2.834,9.08,34.8,13.7,299.54
1.11,504.1,15.71,0.883,5.28,0.167,4.968,7.12,33.0,20.5,230.55
4.2,1157.8,8.01,0.556,7.401,2.142,4.189,6.43,50.9,18.3,285.2
6.97,250.0,45.16,0.133,1.5,4.699,3.528,8.52,48.6,26.0,226.51
4.2,195.3,27.54,0.382,5.511,1.781,4.599,7.54,44.8,28.7,241.88
0.59,205.3,48.76,1.013,2.167,3.921,0.295,6.44,36.1,13.6,227.5
5.41,631.5,32.19,0.771,7.592,0.956,0.445,8.06,45.6,27.2,251.91
6.67,74.8,49.7,0.803,7.229,1.776,2.423,6.13,46.0,29.1,217.06
5.2,1140.2,27.76,0.303,1.766,0.809,1.811,6.7,38.2,29.2,257.99
9.45,1001.2,26.79,0.878,8.62,3.612,4.693,8.76,31.7,10.8,334.44
5.91,67.3,7.64,1.495,0.199,3.527,2.499,6.04,52.0,11.2,265.13
9.04,252.6,18.43,1.234,8.603,3.474,2.744,7.06,41.5,10.1,271.02
1.46,431.9,2.28,0.912,5.589,1.342,4.487,6.07,49.1,16.3,251.02
1.48,200.6,8.86,1.465,4.033,3.493,2.289,9.49,36.3,11.1,231.5
8.09,980.9,37.54,1.357,7.588,1.214,4.397,8.04,44.8,15.9,288.63
4.04,446.4,2.49,0.914,7.17,2.181,1.343,7.03,40.7,17.1,276.62
1.74,1131.1,18.96,0.097,9.873,1.922,1.442,9.25,39.6,29.1,287.9
9.28,719.3,43.25,0.186,2.782,1.841,1.709,7.77,33.2,19.5,276.77
3.54,1060.7,34.94,0.145,0.039,0.383,2.783,7.59,36.1,15.6,250.1
7.53,1021.4,34.86,0.705,9.339,3.195,1.179,8.06,32.0,20.1,311.79
7.29,1091.2,10.24,0.594,8.579,3.566,3.39,6.92,37.6,22.9,309.52
8.84,578.9,22.65,1.464,7.289,3.107,0.8,7.07,48.5,12.2,286.47
6.27,678.3,29.5,0.294,5.167,3.277,0.561,7.3,45.4,25.2,273.97
7.53,968.4,49.5,1.461,7.07,0.933,4.364,6.86,46.8,27.0,260.24
3.55,378.6,10.99,1.163,7.806,0.832,1.261,8.05,30.2,26.9,244.81
2.77,613.8,13.14,1.245,3.749,2.619,1.991,8.44,47.0,27.8,248.64
8.97,739.0,13.85,0.967,7.703,4.389,2.901,6.25,42.6,17.6,304.97
4.34,67.9,37.76,1.02,7.506,1.001,2.676,9.4,35.8,18.9,207.55
9.65,732.5,23.39,0.741,6.132,2.368,0.473,8.64,34.4,12.0,274.75
6.67,548.7,3.79,0.069,4.019,2.202,4.383,8.82,34.6,14.5,297.89
6.25,978.5,25.92,0.562,6.973,2.537,4.761,8.63,51.1,29.4,306.12
1.24,412.5,11.39,0.764,0.032,0.891,4.081,6.28,54.6,15.7,237.2
9.5,1076.8,40.13,1.109,7.749,1.778,1.491,7.69,52.8,28.1,329.48
4.55,714.5,15.57,0.73,8.964,1.383,2.686,7.56,38.7,27.8,279.06
5.83,261.6,2.35,0.713,2.394,4.238,1.763,8.35,49.5,28.5,257.19
4.14,956.1,30.08,0.25,1.209,4.022,2.818,7.57,43.7,13.1,275.18
2.45,753.8,42.35,0.066,2.204,2.191,4.875,8.47,50.4,27.6,211.56
9.04,112.0,19.67,1.15,3.022,3.074,1.627,8.39,42.1,22.6,239.76
5.78,533.2,37.74,0.514,8.83,0.813,3.377,8.44,44.7,14.2,268.17
0.13,830.9,26.05,1.477,5.432,2.597,1.697,8.17,49.7,16.9,248.31
6.21,1106.4,27.51,0.369,2.868,1.555,3.895,6.53,32.5,13.2,263.85
3.33,50.5,48.01,0.541,1.384,4.312,1.696,8.66,43.4,18.9,220.75
5.32,1173.3,40.39,0.81,2.902,3.391,4.46,8.73,39.1,11.7,296.03
8.87,483.1,2.58,1.145,6.139,3.204,3.783,9.16,45.1,13.3,299.12
3.64,1169.9,35.76,0.723,3.242,0.711,3.837,6.82,54.0,13.9,266.98
9.09,745.4,23.79,0.231,4.574,2.406,2.4,6.62,39.8,23.8,274.65
6.27,1003.2,47.43,0.503,4.442,4.934,1.133,7.37,39.8,21.5,283.09
0.26,710.9,11.85,0.782,8.282,4.747,0.303,7.12,49.8,27.5,268.13
9.3,772.3,14.09,1.027,4.264,3.261,1.677,8.85,46.1,14.9,291.0
6.94,378.4,4.99,1.167,3.458,0.843,0.282,8.15,39.8,22.6,269.62
9.97,724.9,22.0,0.239,6.75,3.232,3.5,8.66,47.2,10.7,303.01
1.81,912.5,6.34,0.083,2.216,2.872,3.385,7.5,40.1,20.3,269.55
1.46,1037.1,32.06,0.803,4.673,2.396,2.209,6.35,33.4,27.3,229.17
9.33,918.3,40.35,1.224,3.148,2.197,3.862,6.4,41.3,29.7,301.49
7.0,852.8,35.14,0.068,6.269,3.036,2.726,7.31,38.4,10.2,307.58
0.75,1044.2,38.54,1.025,8.774,4.265,0.295,6.68,35.4,15.1,261.0
7.58,421.1,17.78,1.046,4.477,3.78,0.76,8.87,53.1,14.5,248.21
7.56,821.4,42.45,0.701,7.845,2.939,1.048,8.1,47.2,11.0,291.74
9.24,568.5,22.01,1.376,4.57,4.631,1.745,8.41,45.0,10.2,279.67
7.14,489.4,41.38,0.984,6.563,0.417,0.356,7.72,48.7,19.8,239.35
1.33,522.4,31.7,0.058,1.319,4.958,3.065,6.31,43.5,10.9,252.7
0.3,511.7,8.03,0.752,4.33,0.36,2.609,6.82,47.5,15.6,212.06
0.36,415.0,4.84,1.296,9.093,1.078,3.126,7.62,53.3,22.8,252.31
0.38,765.2,1.9,1.254,6.055,2.171,2.219,6.7,51.6,15.9,239.12
2.54,544.8,4.27,0.991,7.668,0.627,4.254,6.09,34.2,15.4,276.96
8.61,1169.9,23.47,1.027,5.048,3.156,2.325,8.55,36.6,21.8,317.12
5.43,829.5,6.55,0.889,4.981,0.335,0.175,8.54,31.8,17.6,272.46
5.57,278.4,2.36,0.447,8.429,1.495,4.378,7.16,54.5,24.1,264.17
8.44,540.7,37.99,0.863,0.679,0.399,3.315,8.95,35.9,19.9,261.53
1.33,444.8,20.35,1.024,5.733,3.547,4.133,7.5,46.5,22.7,253.27
2.86,967.3,37.6,0.561,9.428,3.375,4.764,9.03,32.2,17.1,285.26
5.9,1062.0,23.17,1.291,5.179,1.955,0.349,8.3,35.3,15.7,295.44
9.7,1089.4,23.05,0.333,1.945,1.022,1.252,8.03,42.6,12.7,291.24
5.65,812.1,24.43,1.134,8.48,3.76,0.41,6.7,32.6,28.7,294.84
0.28,360.7,24.23,0.47,2.517,1.768,2.166,7.85,39.7,26.1,197.99
8.03,340.2,40.36,1.172,7.008,3.997,4.333,9.13,43.4,28.8,278.05
2.41,1033.1,20.72,0.67,5.403,2.491,0.5,7.07,38.5,13.7,284.72
8.09,656.9,45.33,1.221,9.488,2.676,2.418,9.05,43.9,28.7,298.55
3.94,972.5,2.82,0.563,6.244,0.24,0.715,9.18,43.4,28.7,271.29
8.65,708.4,38.92,0.36,8.38,3.257,3.887,7.15,39.8,15.7,288.53
7.5,893.1,7.16,1.163,0.08,1.818,4.223,8.39,47.4,15.5,297.06
5.61,646.9,31.31,0.498,9.893,1.223,0.312,9.15,47.0,21.0,272.96
1.45,936.5,1.51,1.113,0.778,2.226,2.484,6.26,47.2,13.7,255.15
0.69,704.2,27.39,1.129,3.222,1.974,1.273,9.08,44.0,18.8,241.94
1.3,585.6,1.15,0.371,9.462,2.402,4.767,6.67,39.0,13.7,262.36
0.54,444.1,47.61,0.36,0.09,4.899,4.725,8.97,45.3,28.9,230.91
1.16,128.4,45.36,0.338,8.227,1.885,3.108,8.33,53.4,19.9,202.22
2.33,484.6,40.0,0.257,8.612,3.895,4.87,7.21,44.9,29.3,249.88
7.16,141.6,45.85,0.597,4.399,2.809,1.79,6.53,54.5,22.9,241.57
5.64,1180.2,8.13,0.089,2.558,4.457,4.499,8.22,41.0,19.7,312.99
0.22,258.9,8.73,0.211,8.027,1.839,2.23,8.97,48.5,29.4,230.16
